dataset_key,city,filter_name,sensors_retained,days_compared,baseline_mean_ugm3,filtered_mean_ugm3,bias_filtered_minus_baseline_ugm3,mae_filtered_vs_baseline_ugm3,max_abs_difference_ugm3,pearson_r
dhaka_lcs,Dhaka,all_retained_sensors,35,365,54.33822625409849,54.33822625409849,0.0,0.0,0.0,0.9999999999999999
dhaka_lcs,Dhaka,record_uptime_ge_75pct,31,365,54.33822625409849,53.90435204319394,-0.4338742109045364,1.0101433234966897,13.335532111395281,0.9994115292125584
dhaka_lcs,Dhaka,record_uptime_ge_90pct,13,365,54.33822625409849,52.557187556964436,-1.7810386971340417,2.874776224640242,34.46544031930179,0.9956437944159118
dhaka_lcs,Dhaka,daily_uptime_ge_75pct_and_gap_le_30d,29,365,54.33822625409849,54.42089128899939,0.0826650349009201,0.7001191053893323,9.507402821784964,0.9996808962023657
dhaka_lcs,Dhaka,exclude_gap_gt_90d,35,365,54.33822625409849,54.33822625409849,0.0,0.0,0.0,0.9999999999999999
lucknow_lcs,Lucknow,all_retained_sensors,71,365,62.046879412326305,62.046879412326305,0.0,0.0,0.0,1.0
lucknow_lcs,Lucknow,record_uptime_ge_75pct,34,365,62.046879412326305,59.46251928615615,-2.5843601261701523,2.809782137800932,31.47230377097921,0.9980102995802745
lucknow_lcs,Lucknow,record_uptime_ge_90pct,16,365,62.046879412326305,57.531771295686106,-4.515108116640205,4.707792036716064,38.69252490558753,0.9970044483961596
lucknow_lcs,Lucknow,daily_uptime_ge_75pct_and_gap_le_30d,32,365,62.046879412326305,60.441521752190624,-1.605357660135685,2.1424259968547417,15.85811659168482,0.9986169170117276
lucknow_lcs,Lucknow,exclude_gap_gt_90d,58,365,62.046879412326305,62.08041198397026,0.03353257164395126,0.3543275727256835,3.607700668240568,0.9999491188053796
chicago_lcs_corrected_no_collocation,Chicago,all_retained_sensors,277,241,10.561311276636106,10.561311276636106,0.0,0.0,0.0,0.9999999999999998
chicago_lcs_corrected_no_collocation,Chicago,record_uptime_ge_75pct,266,241,10.561311276636106,10.55920911333493,-0.0021021633011740026,0.009156873511119795,0.0539764309764319,0.9999972775887985
chicago_lcs_corrected_no_collocation,Chicago,record_uptime_ge_90pct,260,241,10.561311276636106,10.52434510591827,-0.03696617071783427,0.0374851947963702,0.11966524216524288,0.9999874647125476
chicago_lcs_corrected_no_collocation,Chicago,daily_uptime_ge_75pct_and_gap_le_30d,265,241,10.561311276636106,10.557031910345849,-0.00427936629025592,0.009735580643554244,0.055106745528799905,0.9999969653105044
chicago_lcs_corrected_no_collocation,Chicago,exclude_gap_gt_90d,274,241,10.561311276636106,10.561158713503044,-0.00015256313306233338,0.002824061680977788,0.01567148561200593,0.999999711117848
