city,dataset_key,resolution,weight_scheme,scheme_type,parameter,time_windows_available,time_windows_sampled,time_windows_tested,n_permutations,alpha,median_observed_morans_i,p10_observed_morans_i,p90_observed_morans_i,positive_sig_pct,negative_sig_pct,two_sided_sig_pct,median_p_positive,median_p_two_sided,median_valid_sensor_count,min_valid_sensor_count,scenario,scenario_description,sensors_retained,baseline_median_observed_morans_i,baseline_positive_sig_pct,baseline_two_sided_sig_pct,delta_median_observed_morans_i,delta_positive_sig_pct,delta_two_sided_sig_pct
Dhaka,dhaka_lcs,highest_hourly,band_2km,distance_band,2,8760,120,120,199,0.05,0.04272121391326461,-0.17352466234356254,0.2083500554220534,8.333333333333332,3.3333333333333335,5.833333333333333,0.23249999999999998,0.33499999999999996,31.0,13.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,0.04272121391326461,8.333333333333332,5.833333333333333,0.0,0.0,0.0
Dhaka,dhaka_lcs,highest_hourly,band_5km,distance_band,5,8760,120,120,199,0.05,0.0016838624953675525,-0.09491616360813214,0.12257043535782984,29.166666666666668,2.5,21.666666666666668,0.235,0.235,31.0,13.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,0.0016838624953675525,29.166666666666668,21.666666666666668,0.0,0.0,0.0
Dhaka,dhaka_lcs,highest_hourly,band_10km,distance_band,10,8760,120,120,199,0.05,-0.021260758999508605,-0.0689066765476007,0.0502181705379012,25.0,4.166666666666666,20.0,0.24,0.28,31.0,13.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,-0.021260758999508605,25.0,20.0,0.0,0.0,0.0
Dhaka,dhaka_lcs,highest_hourly,knn_4,k_nearest_neighbor,4,8760,120,120,199,0.05,0.0009813439935246974,-0.1367928984226734,0.153714317159763,10.0,0.8333333333333334,5.0,0.3575,0.44,31.0,13.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,0.0009813439935246974,10.0,5.0,0.0,0.0,0.0
Dhaka,dhaka_lcs,highest_hourly,knn_5,k_nearest_neighbor,5,8760,120,120,199,0.05,-0.018612125608032,-0.14058119393155258,0.15405703148434458,13.333333333333334,3.3333333333333335,8.333333333333332,0.3975,0.44,31.0,13.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,-0.018612125608032,13.333333333333334,8.333333333333332,0.0,0.0,0.0
Dhaka,dhaka_lcs,highest_hourly,knn_8,k_nearest_neighbor,8,8760,120,120,199,0.05,-0.0072428054839526945,-0.10177988440233166,0.13291913015190548,17.5,3.3333333333333335,13.333333333333334,0.28,0.375,31.0,13.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,-0.0072428054839526945,17.5,13.333333333333334,0.0,0.0,0.0
Dhaka,dhaka_lcs,daily,band_2km,distance_band,2,365,240,240,199,0.05,0.07025383696705616,-0.08776509801675725,0.2083614662967033,7.083333333333333,0.4166666666666667,2.083333333333333,0.2,0.37,33.0,15.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,0.07025383696705616,7.083333333333333,2.083333333333333,0.0,0.0,0.0
Dhaka,dhaka_lcs,daily,band_5km,distance_band,5,365,240,240,199,0.05,-0.003978487981036371,-0.0761915855771769,0.09490813516049208,18.333333333333332,0.4166666666666667,10.833333333333334,0.28,0.41,33.0,15.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,-0.003978487981036371,18.333333333333332,10.833333333333334,0.0,0.0,0.0
Dhaka,dhaka_lcs,daily,band_10km,distance_band,10,365,240,240,199,0.05,-0.02597399941996785,-0.06139803078792506,0.020421304312726336,11.666666666666666,5.0,9.166666666666666,0.37,0.4,33.0,15.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,-0.02597399941996785,11.666666666666666,9.166666666666666,0.0,0.0,0.0
Dhaka,dhaka_lcs,daily,knn_4,k_nearest_neighbor,4,365,240,240,199,0.05,-0.03039922149174855,-0.12903708308715114,0.09472996133056398,4.166666666666666,2.083333333333333,2.9166666666666665,0.455,0.61,33.0,15.0,baseline_ge_1h,All sensors; daily value kept when a sensor has at least one valid hourly record that day.,35,-0.03039922149174855,4.166666666666666,2.9166666666666665,0.0,0.0,0.0
