dataset_key,city,hour,n_timestamps,network_mean_ugm3,network_median_ugm3,network_p25_ugm3,network_p75_ugm3,mean_valid_sensor_count,mean_missing_fraction
dhaka_lcs,Dhaka,0,365,61.13782799116103,57.54623287671233,18.575,93.51724137931035,29.665753424657535,0.15240704500978475
dhaka_lcs,Dhaka,1,365,59.879029001372565,56.529406392694064,17.734848484848484,90.6896551724138,29.649315068493152,0.15287671232876712
dhaka_lcs,Dhaka,2,365,58.957732775109655,56.23276255707762,17.669753086419753,89.4396551724138,29.684931506849313,0.1518590998043053
dhaka_lcs,Dhaka,3,365,58.67815686197102,55.77180365296803,17.661290322580644,90.78645833333334,29.67945205479452,0.15201565557729943
dhaka_lcs,Dhaka,4,365,58.72709644631302,55.74404109589041,18.083333333333332,92.03125,29.75890410958904,0.14974559686888456
dhaka_lcs,Dhaka,5,365,59.431907548063755,55.99317351598174,18.983870967741936,89.04947916666666,29.78082191780822,0.14911937377690804
dhaka_lcs,Dhaka,6,365,62.65132376113442,57.173972602739724,19.344827586206897,96.890625,29.723287671232878,0.1507632093933464
dhaka_lcs,Dhaka,7,365,63.33433113802806,57.93929223744292,18.816176470588236,98.55147058823529,30.545205479452054,0.12727984344422702
dhaka_lcs,Dhaka,8,365,59.48350047603471,56.196917808219176,17.5859375,93.32575757575758,30.53698630136986,0.1275146771037182
dhaka_lcs,Dhaka,9,365,54.089532654084934,51.81666666666666,17.669354838709676,76.89583333333333,30.257534246575343,0.1354990215264188
dhaka_lcs,Dhaka,10,365,48.431136134732064,46.66477168949772,17.1484375,64.56474576271187,30.0,0.14285714285714288
dhaka_lcs,Dhaka,11,365,44.1475727899179,42.78045662100457,17.276041666666668,56.31060606060606,29.838356164383562,0.14747553816046968
dhaka_lcs,Dhaka,12,365,41.55882783969821,39.98570776255708,17.098484848484848,51.03448275862069,29.687671232876713,0.15178082191780823
dhaka_lcs,Dhaka,13,365,38.97726804641986,37.95799086757991,16.758064516129032,48.584567901234564,30.057534246575344,0.1412133072407045
dhaka_lcs,Dhaka,14,365,36.88063724117134,36.13470319634703,16.532258064516128,45.53772290809328,29.72876712328767,0.15060665362035225
