city,dataset_key,resolution,weight_scheme,scheme_type,parameter,time_windows_available,time_windows_sampled,time_windows_tested,n_permutations,alpha,median_observed_morans_i,p10_observed_morans_i,p90_observed_morans_i,positive_sig_pct,negative_sig_pct,two_sided_sig_pct,median_p_positive,median_p_two_sided,median_valid_sensor_count,min_valid_sensor_count
Dhaka,dhaka_lcs,highest_hourly,band_2km,distance_band,2,8760,120,120,199,0.05,0.04272121391326461,-0.17352466234356254,0.2083500554220534,11.666666666666666,3.3333333333333335,4.166666666666666,0.2525,0.355,31.0,13.0
Dhaka,dhaka_lcs,highest_hourly,band_5km,distance_band,5,8760,120,120,199,0.05,0.0016838624953675525,-0.09491616360813214,0.12257043535782984,25.833333333333336,3.3333333333333335,23.333333333333332,0.2575,0.265,31.0,13.0
Dhaka,dhaka_lcs,highest_hourly,band_10km,distance_band,10,8760,120,120,199,0.05,-0.021260758999508605,-0.0689066765476007,0.0502181705379012,25.0,5.0,20.833333333333336,0.25,0.295,31.0,13.0
Dhaka,dhaka_lcs,highest_hourly,knn_4,k_nearest_neighbor,4,8760,120,120,199,0.05,0.0009813439935246974,-0.1367928984226734,0.153714317159763,10.833333333333334,1.6666666666666667,6.666666666666667,0.355,0.43,31.0,13.0
Dhaka,dhaka_lcs,highest_hourly,knn_5,k_nearest_neighbor,5,8760,120,120,199,0.05,-0.018612125608032,-0.14058119393155258,0.15405703148434458,12.5,5.0,10.0,0.3875,0.44,31.0,13.0
Dhaka,dhaka_lcs,highest_hourly,knn_8,k_nearest_neighbor,8,8760,120,120,199,0.05,-0.0072428054839526945,-0.10177988440233166,0.13291913015190548,17.5,3.3333333333333335,13.333333333333334,0.3025,0.345,31.0,13.0
Dhaka,dhaka_lcs,daily,band_2km,distance_band,2,365,240,240,199,0.05,0.07025383696705616,-0.08776509801675725,0.2083614662967033,6.666666666666667,0.0,2.083333333333333,0.1925,0.36,33.0,15.0
Dhaka,dhaka_lcs,daily,band_5km,distance_band,5,365,240,240,199,0.05,-0.003978487981036371,-0.0761915855771769,0.09490813516049208,17.916666666666668,0.8333333333333334,11.666666666666666,0.29,0.4,33.0,15.0
Dhaka,dhaka_lcs,daily,band_10km,distance_band,10,365,240,240,199,0.05,-0.02597399941996785,-0.06139803078792506,0.020421304312726336,14.166666666666666,4.583333333333333,10.833333333333334,0.35250000000000004,0.39,33.0,15.0
Dhaka,dhaka_lcs,daily,knn_4,k_nearest_neighbor,4,365,240,240,199,0.05,-0.03039922149174855,-0.12903708308715114,0.09472996133056398,5.416666666666667,1.6666666666666667,2.083333333333333,0.4625,0.615,33.0,15.0
Dhaka,dhaka_lcs,daily,knn_5,k_nearest_neighbor,5,365,240,240,199,0.05,-0.03960651589355024,-0.13038298384162056,0.054450357984066756,3.3333333333333335,3.75,2.5,0.49,0.55,33.0,15.0
Dhaka,dhaka_lcs,daily,knn_8,k_nearest_neighbor,8,365,240,240,199,0.05,-0.016351079012556537,-0.09032178912433032,0.07135787934942979,6.666666666666667,2.083333333333333,4.583333333333333,0.3575,0.555,33.0,15.0
Dhaka,dhaka_lcs,weekly,band_2km,distance_band,2,53,53,53,199,0.05,0.06009836621926439,-0.050372310076816904,0.20705716265006344,5.660377358490567,0.0,0.0,0.24,0.48,34.0,16.0
Dhaka,dhaka_lcs,weekly,band_5km,distance_band,5,53,53,53,199,0.05,-0.008716942311973489,-0.07332101105324672,0.057519268607831305,9.433962264150944,1.8867924528301887,7.547169811320755,0.295,0.49,34.0,16.0
Dhaka,dhaka_lcs,weekly,band_10km,distance_band,10,53,53,53,199,0.05,-0.025653458865781593,-0.05441293021833743,0.020731535895099924,11.320754716981133,5.660377358490567,7.547169811320755,0.39,0.43,34.0,16.0
Dhaka,dhaka_lcs,weekly,knn_4,k_nearest_neighbor,4,53,53,53,199,0.05,-0.04182104257358155,-0.12294718002715742,0.05270632106806072,1.8867924528301887,0.0,0.0,0.505,0.67,34.0,16.0
Dhaka,dhaka_lcs,weekly,knn_5,k_nearest_neighbor,5,53,53,53,199,0.05,-0.06176945282060437,-0.14152246404538382,0.03175358271505884,1.8867924528301887,5.660377358490567,0.0,0.615,0.55,34.0,16.0
Dhaka,dhaka_lcs,weekly,knn_8,k_nearest_neighbor,8,53,53,53,199,0.05,-0.02912735548558472,-0.08089406035052722,0.0437755740960981,3.7735849056603774,0.0,0.0,0.43,0.58,34.0,16.0
Dhaka,dhaka_lcs,monthly,band_2km,distance_band,2,12,12,12,199,0.05,0.06808192399484107,-0.012524443993672751,0.15907648871448862,8.333333333333332,0.0,8.333333333333332,0.215,0.43,35.0,32.0
Dhaka,dhaka_lcs,monthly,band_5km,distance_band,5,12,12,12,199,0.05,-0.022115095621180164,-0.04325999650948491,0.024232151824058124,0.0,0.0,0.0,0.42000000000000004,0.735,35.0,32.0
Dhaka,dhaka_lcs,monthly,band_10km,distance_band,10,12,12,12,199,0.05,-0.027603584039137034,-0.04862275717188384,-0.01067921902328016,0.0,0.0,0.0,0.41000000000000003,0.595,35.0,32.0
Dhaka,dhaka_lcs,monthly,knn_4,k_nearest_neighbor,4,12,12,12,199,0.05,-0.05784964533597543,-0.16265497321406946,0.025608091635215054,0.0,8.333333333333332,0.0,0.6,0.745,35.0,32.0
Dhaka,dhaka_lcs,monthly,knn_5,k_nearest_neighbor,5,12,12,12,199,0.05,-0.06755148588692698,-0.10817564366222848,-0.02810679887342978,0.0,0.0,0.0,0.6475,0.65,35.0,32.0
Dhaka,dhaka_lcs,monthly,knn_8,k_nearest_neighbor,8,12,12,12,199,0.05,-0.014950247600532367,-0.041264650876653784,0.005823993524169083,0.0,0.0,0.0,0.3825,0.75,35.0,32.0
Dhaka,dhaka_lcs,total_period,band_2km,distance_band,2,1,1,1,199,0.05,0.06741598002803932,0.06741598002803932,0.06741598002803932,0.0,0.0,0.0,0.195,0.39,35.0,35.0
Dhaka,dhaka_lcs,total_period,band_5km,distance_band,5,1,1,1,199,0.05,0.006793964461961188,0.006793964461961188,0.006793964461961188,0.0,0.0,0.0,0.24,0.48,35.0,35.0
Dhaka,dhaka_lcs,total_period,band_10km,distance_band,10,1,1,1,199,0.05,-0.0390337501252318,-0.0390337501252318,-0.0390337501252318,0.0,0.0,0.0,0.655,0.7,35.0,35.0
Dhaka,dhaka_lcs,total_period,knn_4,k_nearest_neighbor,4,1,1,1,199,0.05,-0.0727167699652369,-0.0727167699652369,-0.0727167699652369,0.0,0.0,0.0,0.59,0.83,35.0,35.0
Dhaka,dhaka_lcs,total_period,knn_5,k_nearest_neighbor,5,1,1,1,199,0.05,-0.059786710493286974,-0.059786710493286974,-0.059786710493286974,0.0,0.0,0.0,0.64,0.73,35.0,35.0
Dhaka,dhaka_lcs,total_period,knn_8,k_nearest_neighbor,8,1,1,1,199,0.05,-0.009742066009805771,-0.009742066009805771,-0.009742066009805771,0.0,0.0,0.0,0.28,0.56,35.0,35.0
Lucknow,lucknow_lcs,highest_hourly,band_2km,distance_band,2,8760,120,120,199,0.05,0.0333418429032903,-0.19926263405367672,0.25950928500021303,2.5,0.0,2.5,0.39,0.6,52.0,38.0
Lucknow,lucknow_lcs,highest_hourly,band_5km,distance_band,5,8760,120,120,199,0.05,0.02465638806938129,-0.061639781626505075,0.16470134857805127,24.166666666666668,0.8333333333333334,16.666666666666664,0.2175,0.365,52.0,38.0
Lucknow,lucknow_lcs,highest_hourly,band_10km,distance_band,10,8760,120,120,199,0.05,0.0026420857062071064,-0.046651810172300155,0.08601610951636653,32.5,0.8333333333333334,24.166666666666668,0.2025,0.255,52.0,38.0
Lucknow,lucknow_lcs,highest_hourly,knn_4,k_nearest_neighbor,4,8760,120,120,199,0.05,0.05920403321208861,-0.08899663285246034,0.28783921406664537,25.833333333333336,0.8333333333333334,16.666666666666664,0.195,0.315,52.0,38.0
Lucknow,lucknow_lcs,highest_hourly,knn_5,k_nearest_neighbor,5,8760,120,120,199,0.05,0.042663293452369966,-0.1049207825421345,0.2588633015368917,29.166666666666668,2.5,23.333333333333332,0.2275,0.255,52.0,38.0
Lucknow,lucknow_lcs,highest_hourly,knn_8,k_nearest_neighbor,8,8760,120,120,199,0.05,0.05107948481133963,-0.06551906863007145,0.21624636899581504,30.833333333333336,1.6666666666666667,23.333333333333332,0.15,0.29,52.0,38.0
Lucknow,lucknow_lcs,daily,band_2km,distance_band,2,365,240,240,199,0.05,-0.042789349502042134,-0.1942893295628236,0.130769062553052,0.4166666666666667,0.0,0.0,0.55,0.67,56.0,39.0
Lucknow,lucknow_lcs,daily,band_5km,distance_band,5,365,240,240,199,0.05,0.0037865519655639187,-0.06781776732237325,0.09493725053281805,11.666666666666666,1.6666666666666667,6.25,0.3275,0.5,56.0,39.0
Lucknow,lucknow_lcs,daily,band_10km,distance_band,10,365,240,240,199,0.05,-0.01231976833347279,-0.04325372756317472,0.032607673472035414,11.666666666666666,1.6666666666666667,7.916666666666666,0.375,0.405,56.0,39.0
Lucknow,lucknow_lcs,daily,knn_4,k_nearest_neighbor,4,365,240,240,199,0.05,-0.01877804712515852,-0.12031305765298954,0.08671609980677208,4.166666666666666,1.25,3.3333333333333335,0.5,0.545,56.0,39.0
Lucknow,lucknow_lcs,daily,knn_5,k_nearest_neighbor,5,365,240,240,199,0.05,-0.019138519076425047,-0.12785552747407267,0.09621719718715924,6.25,3.3333333333333335,4.166666666666666,0.48,0.475,56.0,39.0
Lucknow,lucknow_lcs,daily,knn_8,k_nearest_neighbor,8,365,240,240,199,0.05,0.006303754062505013,-0.05709649566898598,0.09628689781435763,10.416666666666668,1.6666666666666667,7.5,0.3325,0.475,56.0,39.0
Lucknow,lucknow_lcs,weekly,band_2km,distance_band,2,53,53,53,199,0.05,-0.06943760718259362,-0.24926152891892364,0.07342686317787797,0.0,0.0,0.0,0.59,0.63,60.0,44.0
Lucknow,lucknow_lcs,weekly,band_5km,distance_band,5,53,53,53,199,0.05,-0.015207686367738258,-0.061951071525415076,0.04237433367801431,5.660377358490567,0.0,1.8867924528301887,0.465,0.55,60.0,44.0
Lucknow,lucknow_lcs,weekly,band_10km,distance_band,10,53,53,53,199,0.05,-0.022231762161072248,-0.0425824744552558,0.016569342408763357,1.8867924528301887,0.0,1.8867924528301887,0.515,0.55,60.0,44.0
Lucknow,lucknow_lcs,weekly,knn_4,k_nearest_neighbor,4,53,53,53,199,0.05,-0.026291550052634192,-0.14045658730139987,0.02232459836524894,0.0,9.433962264150944,0.0,0.525,0.63,60.0,44.0
Lucknow,lucknow_lcs,weekly,knn_5,k_nearest_neighbor,5,53,53,53,199,0.05,-0.0367642980239485,-0.15298615561042891,0.03668857530079241,0.0,11.320754716981133,7.547169811320755,0.56,0.52,60.0,44.0
Lucknow,lucknow_lcs,weekly,knn_8,k_nearest_neighbor,8,53,53,53,199,0.05,-0.00407162164698706,-0.0750592877168606,0.04013751427900416,5.660377358490567,3.7735849056603774,0.0,0.435,0.5,60.0,44.0
