dataset_key,city,strategy,sample_size,time_aggregation,time_index,n_days_total,n_days_evaluated,ape_mean_pct,ape_median_pct,ape_p75_pct,ape_p95_pct,absolute_error_mean_ugm3,absolute_error_median_ugm3,absolute_error_p75_ugm3,absolute_error_p95_ugm3,median_subset_valid_sensors,min_subset_valid_sensors,reference_mean_ugm3,subset_mean_ugm3,n_reference_valid,n_subset_valid,ape_pct,absolute_error_ugm3,n_draws,daily_p95_ape_median_across_fixed_subsets_pct,daily_p95_absolute_error_median_across_fixed_subsets_ugm3,strategy_label
dhaka_lcs,Dhaka,random_fixed,5,daily,all_days,365.0,365.0,18.831895260103003,16.024918416186757,25.109778232777906,46.23816129475048,10.49241229900649,6.857982808725865,15.93429782638438,28.881367246434476,5.0,2.0,,,,,,,,,,Random
dhaka_lcs,Dhaka,max_ess,5,daily,all_days,365.0,365.0,16.232112509427726,13.514617534709137,23.52470068869661,39.69934166971532,8.945159969088703,4.335698784722233,14.064321658615142,27.28155894176276,5.0,3.0,,,,,,,,,,Max ESS
dhaka_lcs,Dhaka,min_pred_var,5,daily,all_days,365.0,365.0,12.969014738499714,11.79067820433797,16.975354130393917,31.585849767819052,7.707967413898689,3.195684197042894,12.241198227479401,26.748679687970938,5.0,2.0,,,,,,,,,,Min Pred. Var.
dhaka_lcs,Dhaka,min_ess,5,daily,all_days,365.0,365.0,14.688394783482378,13.624929437201613,19.993607724137487,27.968408225027442,8.190055562526151,4.702758298270215,13.283493723259554,22.261149368948306,5.0,1.0,,,,,,,,,,Min ESS
dhaka_lcs,Dhaka,random_fixed,10,daily,all_days,365.0,365.0,10.970544652555526,10.085629080283603,16.169404881183294,22.834553665714854,6.433780262185291,3.093550085363324,10.197419608488978,21.25415984788001,10.0,2.0,,,,,,,,,,Random
dhaka_lcs,Dhaka,max_ess,10,daily,all_days,365.0,365.0,10.533187239074012,9.165716960380445,14.615447045599753,23.590239094484776,5.502524483116994,2.901887564282376,7.504028251676829,18.25280978123233,9.0,7.0,,,,,,,,,,Max ESS
dhaka_lcs,Dhaka,min_pred_var,10,daily,all_days,365.0,365.0,6.421017529665946,4.372423287073103,9.597565724160452,17.54448664100737,2.8947894776542804,1.7749924796360403,3.154202435359025,9.598507991939817,9.0,6.0,,,,,,,,,,Min Pred. Var.
dhaka_lcs,Dhaka,min_ess,10,daily,all_days,365.0,365.0,10.751464685824107,10.101881220975791,14.441580129540396,22.66605063066733,6.575095172141956,3.4904534285451234,11.070003293807659,19.305650616817346,10.0,3.0,,,,,,,,,,Min ESS
dhaka_lcs,Dhaka,random_fixed,20,daily,all_days,365.0,365.0,5.930035218647495,5.2664750218527665,7.704516441670436,12.555497146162155,2.7973624331772973,1.8869394942638351,3.820375045320475,7.86624390671677,18.0,9.0,,,,,,,,,,Random
dhaka_lcs,Dhaka,max_ess,20,daily,all_days,365.0,365.0,4.665689899198597,3.6186427545357307,6.835120969954585,11.170923010733386,2.074635562963397,1.3737408954938388,2.6059653348914864,6.038295990275109,19.0,12.0,,,,,,,,,,Max ESS
dhaka_lcs,Dhaka,min_pred_var,20,daily,all_days,365.0,365.0,5.663270226952965,5.1736042672714,7.77577896268251,12.684142115172824,3.467346594707194,1.611004236798479,5.875784035204973,10.876956157627752,19.0,10.0,,,,,,,,,,Min Pred. Var.
dhaka_lcs,Dhaka,min_ess,20,daily,all_days,365.0,365.0,7.601835669603059,7.1321455730644505,10.229798938985732,15.493233204534391,4.108221206215981,2.513218893123785,6.478592044142005,11.386093842593748,19.0,6.0,,,,,,,,,,Min ESS
lucknow_lcs,Lucknow,random_fixed,5,daily,all_days,365.0,365.0,8.490621196861674,6.680705575901078,12.095839950553223,22.595986882969193,4.278559277133604,2.3197528860029024,4.699599026833752,16.279746479201243,4.0,2.0,,,,,,,,,,Random
lucknow_lcs,Lucknow,max_ess,5,daily,all_days,365.0,365.0,10.136453332380983,7.3120776850744305,13.819399927797413,30.128764444695857,6.041298348473757,2.8157935052002276,7.2203780069581285,22.289947678917034,4.0,2.0,,,,,,,,,,Max ESS
lucknow_lcs,Lucknow,min_pred_var,5,daily,all_days,365.0,365.0,11.474982885998632,7.164802341396051,15.005866875144157,39.91662857477116,7.508856787233723,2.6846008375817654,12.316930769088955,26.25133986666461,3.0,1.0,,,,,,,,,,Min Pred. Var.
lucknow_lcs,Lucknow,min_ess,5,daily,all_days,365.0,365.0,9.166683807588921,6.795658433024264,12.562549106012952,24.368967467279603,4.553004600345955,2.9409305591932196,5.404347587716627,12.838097307806615,5.0,2.0,,,,,,,,,,Min ESS
lucknow_lcs,Lucknow,random_fixed,10,daily,all_days,365.0,365.0,8.38916326083017,5.732379032130224,11.436941616877453,25.186873583010435,5.817032237426441,2.3941403817881763,8.707924972639688,20.162567076685974,8.0,5.0,,,,,,,,,,Random
lucknow_lcs,Lucknow,max_ess,10,daily,all_days,365.0,365.0,8.05196704501258,5.982128253245227,11.203801416962893,21.96328557088292,5.092389192566342,2.327942751535037,7.370954858180127,17.5064107923211,8.0,4.0,,,,,,,,,,Max ESS
lucknow_lcs,Lucknow,min_pred_var,10,daily,all_days,365.0,365.0,8.496372957967727,5.09218660158343,8.859945326196486,22.141267694615276,7.22728813548389,2.1539332245854013,6.059009463944207,17.12289751650404,8.0,5.0,,,,,,,,,,Min Pred. Var.
